,time,S,I,R
326,0.8150000000000001,78.0,202.0,120.0
327,0.8175,78.0,201.0,121.0
328,0.8200000000000001,78.0,200.0,122.0
329,0.8225,77.0,201.0,122.0
330,0.8250000000000001,77.0,200.0,123.0
331,0.8275,76.0,200.0,124.0
332,0.8300000000000001,76.0,200.0,124.0
333,0.8325,76.0,199.0,125.0
334,0.835,76.0,199.0,125.0
335,0.8375,76.0,199.0,125.0
336,0.84,76.0,198.0,126.0
337,0.8425,76.0,198.0,126.0
338,0.845,76.0,198.0,126.0
339,0.8475,76.0,198.0,126.0
340,0.85,76.0,197.0,127.0
341,0.8525,76.0,196.0,128.0
342,0.855,76.0,196.0,128.0
343,0.8575,75.0,197.0,128.0
344,0.86,74.0,197.0,129.0
345,0.8625,73.0,198.0,129.0
346,0.865,73.0,197.0,130.0
347,0.8675,72.0,197.0,131.0
348,0.87,72.0,197.0,131.0
349,0.8725,72.0,197.0,131.0
350,0.875,73.0,197.0,130.0
351,0.8775000000000001,73.0,197.0,130.0
352,0.88,73.0,196.0,131.0
353,0.8825000000000001,73.0,196.0,131.0
354,0.885,73.0,196.0,131.0
355,0.8875000000000001,72.0,196.0,132.0
356,0.89,71.0,196.0,133.0
357,0.8925000000000001,71.0,196.0,133.0
358,0.895,71.0,196.0,133.0
359,0.8975,71.0,195.0,134.0
360,0.9,71.0,195.0,134.0
361,0.9025,72.0,194.0,134.0
362,0.905,72.0,194.0,134.0
363,0.9075,72.0,193.0,135.0
364,0.91,72.0,192.0,136.0
365,0.9125,72.0,192.0,136.0
366,0.915,71.0,193.0,136.0
367,0.9175,71.0,192.0,137.0
368,0.92,70.0,193.0,137.0
369,0.9225,70.0,193.0,137.0
370,0.925,70.0,193.0,137.0
371,0.9275,69.0,193.0,138.0
372,0.93,69.0,192.0,139.0
373,0.9325,68.0,192.0,140.0
374,0.935,68.0,192.0,140.0
375,0.9375,68.0,192.0,140.0
376,0.9400000000000001,67.0,193.0,140.0
377,0.9425,67.0,192.0,141.0
378,0.9450000000000001,66.0,192.0,142.0
379,0.9475,66.0,192.0,142.0
380,0.9500000000000001,66.0,192.0,142.0
381,0.9525,66.0,191.0,143.0
382,0.9550000000000001,66.0,190.0,144.0
383,0.9575,66.0,191.0,143.0
384,0.96,65.0,191.0,144.0
385,0.9625,65.0,191.0,144.0
386,0.965,65.0,191.0,144.0
387,0.9675,65.0,191.0,144.0
388,0.97,64.0,191.0,145.0
389,0.9725,64.0,191.0,145.0
390,0.975,64.0,191.0,145.0
391,0.9775,64.0,191.0,145.0
392,0.98,64.0,190.0,146.0
393,0.9825,65.0,190.0,145.0
394,0.985,65.0,190.0,145.0
395,0.9875,65.0,190.0,145.0
396,0.99,65.0,190.0,145.0
397,0.9925,65.0,190.0,145.0
398,0.995,65.0,189.0,146.0
399,0.9975,65.0,189.0,146.0
400,1.0,64.0,189.0,147.0
401,1.0025,63.0,189.0,148.0
402,1.0050000000000001,63.0,188.0,149.0
403,1.0075,62.0,188.0,150.0
404,1.01,62.0,187.0,151.0
405,1.0125,62.0,186.0,152.0
406,1.0150000000000001,62.0,186.0,152.0
407,1.0175,61.0,187.0,152.0
408,1.02,60.0,187.0,153.0
409,1.0225,60.0,186.0,154.0
410,1.025,60.0,186.0,154.0
411,1.0275,59.0,186.0,155.0
412,1.03,59.0,186.0,155.0
413,1.0325,59.0,185.0,156.0
414,1.035,60.0,185.0,155.0
415,1.0375,60.0,185.0,155.0
416,1.04,59.0,185.0,156.0
417,1.0425,59.0,184.0,157.0
418,1.045,59.0,184.0,157.0
419,1.0475,60.0,183.0,157.0
420,1.05,60.0,182.0,158.0
421,1.0525,60.0,181.0,159.0
422,1.055,60.0,181.0,159.0
423,1.0575,61.0,180.0,159.0
424,1.06,61.0,180.0,159.0
425,1.0625,60.0,180.0,160.0
426,1.065,60.0,181.0,159.0
427,1.0675000000000001,59.0,182.0,159.0
428,1.07,59.0,182.0,159.0
429,1.0725,60.0,181.0,159.0
430,1.075,60.0,180.0,160.0
431,1.0775000000000001,60.0,180.0,160.0
432,1.08,60.0,180.0,160.0
433,1.0825,60.0,181.0,159.0
434,1.085,61.0,181.0,158.0
435,1.0875000000000001,61.0,181.0,158.0
436,1.09,62.0,180.0,158.0
437,1.0925,62.0,179.0,159.0
438,1.095,61.0,180.0,159.0
439,1.0975,61.0,180.0,159.0
440,1.1,60.0,181.0,159.0
441,1.1025,61.0,180.0,159.0
442,1.105,61.0,179.0,160.0
443,1.1075,61.0,179.0,160.0
444,1.11,61.0,178.0,161.0
445,1.1125,61.0,178.0,161.0
446,1.115,61.0,178.0,161.0
447,1.1175,61.0,178.0,161.0
448,1.12,60.0,179.0,161.0
449,1.1225,60.0,179.0,161.0
450,1.125,59.0,179.0,162.0
451,1.1275,59.0,178.0,163.0
452,1.1300000000000001,60.0,178.0,162.0
453,1.1325,60.0,178.0,162.0
454,1.135,60.0,177.0,163.0
455,1.1375,60.0,176.0,164.0
456,1.1400000000000001,59.0,177.0,164.0
457,1.1425,58.0,178.0,164.0
458,1.145,58.0,178.0,164.0
459,1.1475,57.0,179.0,164.0
460,1.1500000000000001,56.0,180.0,164.0
461,1.1525,56.0,179.0,165.0
462,1.155,56.0,178.0,166.0
463,1.1575,57.0,178.0,165.0
464,1.16,56.0,178.0,166.0
465,1.1625,56.0,177.0,167.0
466,1.165,56.0,176.0,168.0
467,1.1675,55.0,177.0,168.0
468,1.17,55.0,177.0,168.0
469,1.1725,54.0,177.0,169.0
470,1.175,54.0,177.0,169.0
471,1.1775,54.0,176.0,170.0
472,1.18,54.0,177.0,169.0
473,1.1825,54.0,177.0,169.0
474,1.185,54.0,176.0,170.0
475,1.1875,54.0,176.0,170.0
476,1.19,54.0,175.0,171.0
477,1.1925000000000001,55.0,175.0,170.0
478,1.195,55.0,175.0,170.0
479,1.1975,54.0,176.0,170.0
480,1.2,54.0,176.0,170.0
481,1.2025000000000001,54.0,175.0,171.0
482,1.205,54.0,174.0,172.0
483,1.2075,54.0,173.0,173.0
484,1.21,54.0,173.0,173.0
485,1.2125000000000001,53.0,173.0,174.0
486,1.215,53.0,173.0,174.0
487,1.2175,52.0,173.0,175.0
488,1.22,52.0,172.0,176.0
489,1.2225,52.0,171.0,177.0
490,1.225,53.0,170.0,177.0
491,1.2275,53.0,170.0,177.0
492,1.23,53.0,170.0,177.0
493,1.2325,53.0,170.0,177.0
494,1.235,53.0,170.0,177.0
495,1.2375,54.0,170.0,176.0
496,1.24,54.0,170.0,176.0
497,1.2425,53.0,171.0,176.0
498,1.245,53.0,170.0,177.0
499,1.2475,53.0,170.0,177.0
500,1.25,53.0,169.0,178.0
501,1.2525,52.0,170.0,178.0
502,1.2550000000000001,51.0,171.0,178.0
503,1.2575,51.0,171.0,178.0
504,1.26,51.0,171.0,178.0
505,1.2625,50.0,172.0,178.0
506,1.2650000000000001,49.0,172.0,179.0
507,1.2675,49.0,172.0,179.0
508,1.27,50.0,171.0,179.0
509,1.2725,50.0,170.0,180.0
510,1.2750000000000001,49.0,170.0,181.0
511,1.2775,49.0,170.0,181.0
512,1.28,49.0,170.0,181.0
513,1.2825,49.0,170.0,181.0
514,1.285,49.0,170.0,181.0
515,1.2875,49.0,170.0,181.0
516,1.29,49.0,170.0,181.0
517,1.2925,48.0,171.0,181.0
518,1.295,48.0,171.0,181.0
519,1.2975,48.0,171.0,181.0
520,1.3,48.0,171.0,181.0
521,1.3025,49.0,170.0,181.0
522,1.305,50.0,169.0,181.0
523,1.3075,49.0,170.0,181.0
524,1.31,49.0,169.0,182.0
525,1.3125,49.0,169.0,182.0
526,1.315,49.0,169.0,182.0
527,1.3175000000000001,49.0,168.0,183.0
528,1.32,49.0,168.0,183.0
529,1.3225,48.0,168.0,184.0
530,1.325,49.0,167.0,184.0
531,1.3275000000000001,48.0,167.0,185.0
532,1.33,49.0,167.0,184.0
533,1.3325,50.0,167.0,183.0
534,1.335,50.0,167.0,183.0
535,1.3375000000000001,51.0,167.0,182.0
536,1.34,50.0,167.0,183.0
537,1.3425,50.0,167.0,183.0
538,1.345,51.0,167.0,182.0
539,1.3475,51.0,167.0,182.0
540,1.35,51.0,167.0,182.0
541,1.3525,51.0,167.0,182.0
542,1.355,50.0,167.0,183.0
543,1.3575,50.0,166.0,184.0
544,1.36,50.0,166.0,184.0
545,1.3625,51.0,166.0,183.0
546,1.365,51.0,166.0,183.0
547,1.3675,51.0,165.0,184.0
548,1.37,50.0,165.0,185.0
549,1.3725,50.0,165.0,185.0
550,1.375,50.0,164.0,186.0
551,1.3775,50.0,163.0,187.0
552,1.3800000000000001,50.0,163.0,187.0
553,1.3825,51.0,163.0,186.0
554,1.385,52.0,162.0,186.0
555,1.3875,51.0,163.0,186.0
556,1.3900000000000001,51.0,163.0,186.0
557,1.3925,50.0,164.0,186.0
558,1.395,50.0,164.0,186.0
559,1.3975,50.0,163.0,187.0
560,1.4000000000000001,50.0,162.0,188.0
561,1.4025,50.0,161.0,189.0
562,1.405,50.0,160.0,190.0
563,1.4075,50.0,160.0,190.0
564,1.41,50.0,159.0,191.0
565,1.4125,50.0,158.0,192.0
566,1.415,50.0,158.0,192.0
567,1.4175,50.0,157.0,193.0
568,1.42,51.0,157.0,192.0
569,1.4225,51.0,157.0,192.0
570,1.425,51.0,158.0,191.0
571,1.4275,50.0,158.0,192.0
572,1.43,49.0,159.0,192.0
573,1.4325,49.0,159.0,192.0
574,1.435,49.0,158.0,193.0
575,1.4375,50.0,157.0,193.0
576,1.44,50.0,157.0,193.0
577,1.4425000000000001,50.0,157.0,193.0
578,1.445,50.0,156.0,194.0
579,1.4475,50.0,156.0,194.0
580,1.45,51.0,156.0,193.0
581,1.4525000000000001,51.0,156.0,193.0
582,1.455,50.0,156.0,194.0
583,1.4575,50.0,156.0,194.0
584,1.46,50.0,156.0,194.0
585,1.4625000000000001,50.0,156.0,194.0
586,1.465,50.0,155.0,195.0
587,1.4675,51.0,154.0,195.0
588,1.47,51.0,153.0,196.0
589,1.4725,50.0,153.0,197.0
590,1.475,50.0,154.0,196.0
591,1.4775,50.0,153.0,197.0
592,1.48,50.0,152.0,198.0
593,1.4825,50.0,152.0,198.0
594,1.485,50.0,152.0,198.0
595,1.4875,50.0,152.0,198.0
596,1.49,51.0,152.0,197.0
597,1.4925,52.0,152.0,196.0
598,1.495,52.0,152.0,196.0
599,1.4975,51.0,153.0,196.0
600,1.5,50.0,153.0,197.0
601,1.5025,50.0,152.0,198.0
602,1.5050000000000001,50.0,152.0,198.0
603,1.5075,51.0,152.0,197.0
604,1.51,50.0,153.0,197.0
605,1.5125,51.0,153.0,196.0
606,1.5150000000000001,50.0,154.0,196.0
607,1.5175,50.0,154.0,196.0
608,1.52,50.0,155.0,195.0
609,1.5225,51.0,155.0,194.0
610,1.5250000000000001,51.0,154.0,195.0
611,1.5275,51.0,153.0,196.0
612,1.53,51.0,152.0,197.0
613,1.5325,50.0,153.0,197.0
614,1.5350000000000001,49.0,154.0,197.0
615,1.5375,49.0,154.0,197.0
616,1.54,49.0,154.0,197.0
617,1.5425,48.0,155.0,197.0
618,1.545,48.0,156.0,196.0
619,1.5475,48.0,156.0,196.0
620,1.55,48.0,156.0,196.0
621,1.5525,47.0,157.0,196.0
622,1.555,47.0,156.0,197.0
623,1.5575,47.0,155.0,198.0
624,1.56,47.0,154.0,199.0
625,1.5625,47.0,154.0,199.0
626,1.565,47.0,154.0,199.0
627,1.5675000000000001,47.0,154.0,199.0
628,1.57,47.0,153.0,200.0
629,1.5725,47.0,152.0,201.0
630,1.575,47.0,152.0,201.0
631,1.5775000000000001,48.0,152.0,200.0
632,1.58,48.0,152.0,200.0
633,1.5825,48.0,153.0,199.0
634,1.585,48.0,153.0,199.0
635,1.5875000000000001,49.0,152.0,199.0
636,1.59,50.0,152.0,198.0
637,1.5925,50.0,153.0,197.0
638,1.595,50.0,153.0,197.0
639,1.5975000000000001,51.0,153.0,196.0
640,1.6,52.0,152.0,196.0
641,1.6025,52.0,152.0,196.0
642,1.605,53.0,151.0,196.0
643,1.6075,52.0,152.0,196.0
644,1.61,52.0,152.0,196.0
645,1.6125,52.0,152.0,196.0
646,1.615,52.0,152.0,196.0
647,1.6175,53.0,152.0,195.0
648,1.62,54.0,151.0,195.0
649,1.6225,53.0,152.0,195.0
650,1.625,54.0,152.0,194.0
651,1.6275,53.0,152.0,195.0
652,1.6300000000000001,53.0,152.0,195.0
653,1.6325,53.0,151.0,196.0
654,1.635,53.0,151.0,196.0
655,1.6375,53.0,150.0,197.0
656,1.6400000000000001,53.0,150.0,197.0
657,1.6425,53.0,150.0,197.0
658,1.645,52.0,150.0,198.0
659,1.6475,52.0,150.0,198.0
660,1.6500000000000001,52.0,149.0,199.0
661,1.6525,52.0,149.0,199.0
662,1.655,51.0,149.0,200.0
663,1.6575,52.0,149.0,199.0
664,1.6600000000000001,52.0,148.0,200.0
665,1.6625,51.0,149.0,200.0
666,1.665,52.0,148.0,200.0
667,1.6675,52.0,148.0,200.0
668,1.67,52.0,148.0,200.0
669,1.6725,52.0,148.0,200.0
670,1.675,51.0,148.0,201.0
671,1.6775,51.0,149.0,200.0
