,S,I,R
559,212.0,70.0,118.0
560,211.0,71.0,118.0
561,211.0,71.0,118.0
562,211.0,71.0,118.0
563,212.0,70.0,118.0
564,212.0,70.0,118.0
565,212.0,70.0,118.0
566,212.0,70.0,118.0
567,211.0,71.0,118.0
568,211.0,71.0,118.0
569,211.0,70.0,119.0
570,211.0,70.0,119.0
571,210.0,71.0,119.0
572,209.0,72.0,119.0
573,209.0,72.0,119.0
574,209.0,72.0,119.0
575,209.0,72.0,119.0
576,209.0,71.0,120.0
577,209.0,71.0,120.0
578,209.0,70.0,121.0
579,209.0,70.0,121.0
580,209.0,70.0,121.0
581,209.0,70.0,121.0
582,208.0,71.0,121.0
583,208.0,71.0,121.0
584,208.0,71.0,121.0
585,209.0,70.0,121.0
586,209.0,70.0,121.0
587,209.0,70.0,121.0
588,209.0,70.0,121.0
589,209.0,70.0,121.0
590,208.0,71.0,121.0
591,207.0,72.0,121.0
592,207.0,72.0,121.0
593,206.0,73.0,121.0
594,206.0,73.0,121.0
595,206.0,73.0,121.0
596,206.0,72.0,122.0
597,206.0,72.0,122.0
598,206.0,72.0,122.0
599,206.0,72.0,122.0
600,206.0,71.0,123.0
601,206.0,71.0,123.0
602,206.0,71.0,123.0
603,206.0,71.0,123.0
604,206.0,71.0,123.0
605,206.0,71.0,123.0
606,205.0,72.0,123.0
607,205.0,72.0,123.0
608,205.0,72.0,123.0
609,205.0,72.0,123.0
610,205.0,72.0,123.0
611,205.0,72.0,123.0
612,205.0,72.0,123.0
613,205.0,72.0,123.0
614,205.0,72.0,123.0
615,204.0,73.0,123.0
616,203.0,74.0,123.0
617,203.0,74.0,123.0
618,202.0,75.0,123.0
619,202.0,75.0,123.0
620,202.0,75.0,123.0
621,201.0,76.0,123.0
622,200.0,77.0,123.0
623,200.0,76.0,124.0
624,199.0,77.0,124.0
625,199.0,77.0,124.0
626,199.0,77.0,124.0
627,198.0,78.0,124.0
628,197.0,78.0,125.0
629,197.0,78.0,125.0
630,197.0,78.0,125.0
631,197.0,78.0,125.0
632,197.0,78.0,125.0
633,197.0,78.0,125.0
634,196.0,79.0,125.0
635,196.0,79.0,125.0
636,196.0,79.0,125.0
637,196.0,79.0,125.0
638,196.0,79.0,125.0
639,197.0,78.0,125.0
640,197.0,77.0,126.0
641,196.0,78.0,126.0
642,196.0,78.0,126.0
643,195.0,79.0,126.0
